,accuracy,precision,recall,f1,auc_roc,auc_pr,mcc
logreg_l2,0.8525,0.8391,0.8488,0.8439,0.9244,0.9296,0.7041
ridge,0.7978,0.8025,0.7558,0.7784,0.8245,0.8342,0.5937
lda,0.8415,0.8904,0.7558,0.8176,0.9186,0.9205,0.6863
knn,0.7923,0.8636,0.6628,0.75,0.8538,0.8378,0.5924
gnb,0.7213,0.907,0.4535,0.6047,0.7597,0.7807,0.4853
rf,0.8689,0.9079,0.8023,0.8519,0.9203,0.9282,0.7395
et,0.8634,0.9178,0.7791,0.8428,0.9242,0.9325,0.731
hgb,0.8689,0.8875,0.8256,0.8554,0.9251,0.933,0.7373
gb,0.8634,0.8675,0.8372,0.8521,0.9172,0.9307,0.7256
ada,0.8306,0.8313,0.8023,0.8166,0.8983,0.9128,0.6597
lgbm,0.8689,0.8875,0.8256,0.8554,0.9238,0.9323,0.7373
xgb,0.8852,0.9012,0.8488,0.8743,0.9196,0.932,0.7701
cat,0.8634,0.8765,0.8256,0.8503,0.9257,0.9351,0.726
svm_rbf,0.847,0.8625,0.8023,0.8313,0.9194,0.9234,0.6932
mlp_base,0.8197,0.8354,0.7674,0.8,0.9006,0.9097,0.6383
meta_nn,0.8907,0.9125,0.8488,0.8795,0.9345,0.9436,0.7815
